                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63299,                0.61569,                 1.0255,                0.61082,                0.46791,                0.49949,                0.33873,                 1.2509,                 1.7528,                 1.4308,              0.0003268,              0.0003268,              0.0003268
                     36,                0.63512,                 0.6113,                 1.0246,                0.63895,                0.44597,                0.49583,                0.33419,                 1.2575,                  1.762,                 1.4425,               0.000307,               0.000307,               0.000307
                     37,                0.62119,                0.60167,                 1.0158,                 0.6646,                0.45298,                    0.5,                0.33351,                 1.2667,                 1.7733,                  1.463,              0.0002872,              0.0002872,              0.0002872
                     38,                 0.6163,                0.58785,                 1.0174,                0.67141,                0.44708,                0.50286,                0.33996,                 1.2408,                  1.762,                 1.4257,              0.0002674,              0.0002674,              0.0002674
                     39,                 0.6109,                0.57894,                 1.0152,                0.63148,                 0.4808,                 0.5122,                0.34563,                 1.2556,                 1.7432,                 1.4402,              0.0002476,              0.0002476,              0.0002476
                     40,                0.60765,                0.56799,                 1.0119,                0.67877,                0.45447,                0.51346,                 0.3462,                 1.2552,                 1.7259,                 1.4381,              0.0002278,              0.0002278,              0.0002278
                     41,                0.61382,                 0.5156,                0.99885,                0.66207,                0.45879,                0.50627,                0.33999,                  1.242,                 1.7145,                 1.4302,               0.000208,               0.000208,               0.000208
                     42,                0.59905,                 0.4906,                0.98999,                0.65527,                0.46173,                0.50681,                0.34474,                 1.2437,                 1.7653,                 1.4269,              0.0001882,              0.0001882,              0.0001882
                     43,                0.58836,                0.47533,                0.98527,                0.64028,                0.47147,                0.50625,                0.34439,                 1.2483,                 1.7981,                 1.4428,              0.0001684,              0.0001684,              0.0001684
                     44,                0.58313,                 0.4683,                0.98308,                0.68221,                0.44932,                0.50791,                0.34316,                  1.264,                  1.824,                 1.4527,              0.0001486,              0.0001486,              0.0001486
                     45,                0.57574,                0.45319,                0.97429,                0.66174,                0.47433,                0.51475,                0.35165,                 1.2505,                 1.7789,                 1.4415,              0.0001288,              0.0001288,              0.0001288
                     46,                0.57459,                0.44419,                0.97266,                0.69064,                0.44883,                0.50002,                0.33769,                  1.263,                 1.8349,                 1.4512,               0.000109,               0.000109,               0.000109
                     47,                0.56589,                0.43503,                0.96788,                0.66561,                0.45447,                0.50375,                0.34429,                 1.2657,                 1.8141,                 1.4544,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.55619,                0.42227,                0.96594,                0.68858,                0.44458,                0.50572,                0.34242,                   1.27,                 1.8264,                 1.4582,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 0.5519,                0.41568,                0.96169,                0.65706,                0.46142,                0.50628,                0.34443,                 1.2709,                 1.8199,                 1.4633,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.55371,                0.41467,                0.96337,                0.67202,                0.45475,                0.50713,                0.34616,                 1.2683,                 1.8289,                 1.4627,               2.98e-05,               2.98e-05,               2.98e-05
