                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77446,                0.94666,                 1.2094,                0.45513,                0.39405,                0.37084,                0.18933,                  1.603,                 2.0628,                 1.7918,               0.000439,               0.000439,               0.000439
                     36,                0.78032,                0.93405,                 1.2118,                 0.4248,                0.40752,                0.35238,                0.17637,                 1.6156,                 2.1902,                 1.7982,              0.0004225,              0.0004225,              0.0004225
                     37,                0.76595,                 0.9257,                 1.1971,                0.41819,                 0.3931,                0.35176,                0.17613,                 1.6217,                 2.2084,                  1.828,               0.000406,               0.000406,               0.000406
                     38,                0.75945,                0.91355,                 1.1974,                0.43379,                0.40252,                0.36718,                0.18745,                 1.5923,                 2.1087,                 1.7917,              0.0003895,              0.0003895,              0.0003895
                     39,                0.75255,                0.89705,                 1.1965,                 0.4463,                0.39376,                0.37288,                0.18971,                 1.5927,                 2.1235,                 1.7913,               0.000373,               0.000373,               0.000373
                     40,                0.74695,                0.87501,                 1.1909,                0.47314,                0.40983,                0.38594,                 0.2026,                 1.5851,                  2.043,                 1.7685,              0.0003565,              0.0003565,              0.0003565
                     41,                0.73825,                0.86452,                 1.1841,                0.46636,                0.41028,                0.39027,                0.20521,                 1.5955,                 2.0629,                 1.7883,                0.00034,                0.00034,                0.00034
                     42,                0.73484,                0.84863,                 1.1752,                0.43794,                 0.4031,                0.37279,                0.19194,                 1.6024,                 2.1237,                 1.7965,              0.0003235,              0.0003235,              0.0003235
                     43,                0.74132,                0.86155,                 1.1788,                0.44178,                0.40112,                0.36477,                0.18784,                 1.6008,                 2.1388,                 1.7932,               0.000307,               0.000307,               0.000307
                     44,                0.73557,                0.84935,                 1.1742,                0.43223,                0.40532,                0.36776,                0.18929,                  1.601,                 2.1705,                 1.7969,              0.0002905,              0.0002905,              0.0002905
                     45,                0.72671,                0.82826,                 1.1723,                0.47549,                 0.3972,                0.39184,                0.20314,                  1.595,                 2.0734,                 1.7888,               0.000274,               0.000274,               0.000274
                     46,                0.70598,                0.81438,                 1.1558,                0.47682,                0.40458,                0.38489,                0.19981,                  1.597,                 2.1271,                 1.7919,              0.0002575,              0.0002575,              0.0002575
                     47,                 0.7235,                0.80855,                 1.1633,                0.46669,                0.42201,                0.39481,                0.20393,                 1.6053,                 2.1005,                 1.7907,               0.000241,               0.000241,               0.000241
                     48,                0.70912,                0.80425,                 1.1546,                 0.5036,                0.40613,                0.40062,                0.20816,                 1.6011,                 2.0943,                 1.7903,              0.0002245,              0.0002245,              0.0002245
                     49,                0.70809,                0.78679,                 1.1544,                0.47593,                0.43031,                0.41179,                 0.2148,                 1.6017,                 2.0669,                 1.7838,               0.000208,               0.000208,               0.000208
                     50,                0.70225,                0.77673,                 1.1504,                0.51278,                0.39769,                0.40584,                0.20999,                 1.6093,                 2.1124,                 1.7993,              0.0001915,              0.0001915,              0.0001915
                     51,                0.77336,                0.75877,                 1.1393,                0.49982,                0.42592,                0.41699,                 0.2245,                 1.5805,                 2.0786,                 1.7757,               0.000175,               0.000175,               0.000175
                     52,                0.76074,                0.73072,                 1.1299,                0.51996,                0.42834,                0.42367,                0.22343,                 1.5801,                    2.1,                 1.7773,              0.0001585,              0.0001585,              0.0001585
                     53,                0.75666,                 0.7075,                 1.1234,                0.55607,                0.39984,                0.41307,                0.21945,                 1.5817,                  2.143,                 1.7794,               0.000142,               0.000142,               0.000142
                     54,                0.74495,                0.69474,                 1.1205,                0.52905,                0.42503,                0.42404,                0.22817,                 1.5857,                 2.1166,                 1.7814,              0.0001255,              0.0001255,              0.0001255
                     55,                0.73717,                0.67864,                 1.1099,                0.56401,                 0.3897,                0.42129,                0.22517,                 1.5911,                 2.1684,                 1.7946,               0.000109,               0.000109,               0.000109
                     56,                0.73502,                0.67659,                  1.113,                0.56119,                0.39516,                0.42318,                0.22529,                 1.5848,                 2.1554,                 1.7828,               9.25e-05,               9.25e-05,               9.25e-05
                     57,                0.73043,                0.65986,                 1.1035,                0.55907,                0.40485,                 0.4276,                0.22538,                 1.5919,                 2.1628,                 1.7888,                7.6e-05,                7.6e-05,                7.6e-05
                     58,                0.72672,                0.65602,                 1.1014,                0.56744,                0.39897,                0.42428,                0.22372,                 1.5876,                 2.1553,                 1.7855,               5.95e-05,               5.95e-05,               5.95e-05
                     59,                0.71457,                0.63842,                 1.0951,                0.55689,                0.40978,                 0.4238,                0.22579,                 1.5812,                 2.1382,                 1.7817,                4.3e-05,                4.3e-05,                4.3e-05
                     60,                0.71689,                0.63751,                  1.096,                0.56501,                0.40664,                0.42281,                0.22606,                 1.5877,                 2.1564,                 1.7871,               2.65e-05,               2.65e-05,               2.65e-05
