                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.2294,                 5.6668,                   4.24,                      0,                      0,                      0,                      0,                 3.3781,                 5.3229,                 4.1536,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 3.5682,                 5.4555,                 4.2024,                      0,                      0,                      0,                      0,                 3.3781,                 5.3229,                 4.1536,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                  3.009,                  5.627,                 4.2724,                      0,                      0,                      0,                      0,                 3.3781,                 5.3195,                 4.1533,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 3.0126,                 5.6336,                 4.3193,                      0,                      0,                      0,                      0,                 3.3781,                 5.3195,                 4.1533,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                  3.181,                 5.4386,                 4.2555,                      0,                      0,                      0,                      0,                 3.3779,                 5.3181,                 4.1529,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                   2.79,                 5.4841,                 4.2265,                      0,                      0,                      0,                      0,                 3.3779,                 5.3181,                 4.1529,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 3.1565,                 5.6075,                 4.2253,                      0,                      0,                      0,                      0,                 3.3779,                 5.3217,                 4.1527,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.4624,                 5.6461,                  4.279,                      0,                      0,                      0,                      0,                 3.3779,                 5.3217,                 4.1527,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 3.1387,                 5.5231,                   4.26,                      0,                      0,                      0,                      0,                 3.3783,                 5.3207,                 4.1528,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.9651,                 5.4603,                 4.3058,                      0,                      0,                      0,                      0,                 3.3783,                 5.3207,                 4.1528,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.9295,                   5.41,                 4.1786,                      0,                      0,                      0,                      0,                 3.3779,                 5.3204,                 4.1527,             2.9552e-05,             2.9552e-05,             2.9552e-05
