                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62978,                0.61886,                 1.0247,                0.65462,                 0.4702,                0.52256,                0.35593,                 1.2314,                 1.6401,                 1.4049,              0.0003268,              0.0003268,              0.0003268
                     36,                0.63716,                0.61564,                 1.0247,                 0.6738,                0.45937,                0.51484,                0.34508,                  1.243,                 1.7071,                 1.4133,               0.000307,               0.000307,               0.000307
                     37,                 0.6216,                0.60114,                 1.0161,                0.65481,                0.46364,                0.50416,                0.33862,                 1.2721,                 1.7761,                 1.4515,              0.0002872,              0.0002872,              0.0002872
                     38,                0.61464,                0.59164,                 1.0149,                0.66722,                0.45907,                0.51655,                0.35019,                 1.2429,                 1.7231,                 1.4266,              0.0002674,              0.0002674,              0.0002674
                     39,                0.61011,                0.57922,                 1.0148,                0.61992,                0.48425,                0.51168,                0.34475,                 1.2483,                 1.7393,                 1.4285,              0.0002476,              0.0002476,              0.0002476
                     40,                0.60671,                0.57491,                 1.0117,                0.67131,                0.46817,                0.52278,                0.34997,                  1.253,                 1.6685,                 1.4313,              0.0002278,              0.0002278,              0.0002278
                     41,                0.61402,                 0.5144,                0.99939,                0.69308,                0.45902,                0.51776,                0.35154,                 1.2552,                 1.6827,                 1.4352,               0.000208,               0.000208,               0.000208
                     42,                0.60164,                0.49211,                0.99288,                0.68922,                 0.4675,                0.51153,                  0.345,                 1.2672,                 1.7451,                 1.4423,              0.0001882,              0.0001882,              0.0001882
                     43,                0.58779,                 0.4758,                0.98502,                0.67639,                0.47003,                0.51832,                0.35478,                 1.2498,                 1.7382,                  1.427,              0.0001684,              0.0001684,              0.0001684
                     44,                0.58654,                0.47037,                0.98479,                 0.6841,                0.46889,                0.51888,                0.35401,                 1.2535,                 1.7424,                 1.4314,              0.0001486,              0.0001486,              0.0001486
                     45,                0.57735,                0.45135,                0.97585,                0.66792,                0.47141,                0.50897,                0.34789,                 1.2576,                 1.8104,                 1.4488,              0.0001288,              0.0001288,              0.0001288
                     46,                0.57429,                0.44795,                0.97317,                0.68149,                0.45927,                0.50938,                0.34728,                 1.2577,                 1.8226,                 1.4411,               0.000109,               0.000109,               0.000109
                     47,                0.56701,                0.43597,                0.96841,                0.66739,                0.46783,                0.51371,                0.35216,                 1.2534,                 1.7801,                  1.435,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.55497,                0.42502,                0.96745,                0.70348,                  0.452,                0.51213,                0.35087,                 1.2512,                 1.8091,                 1.4413,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.55421,                0.41747,                0.96323,                 0.6856,                 0.4586,                0.51171,                0.35134,                 1.2615,                 1.8296,                 1.4472,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.55574,                0.42034,                0.96445,                0.69963,                0.46112,                0.51506,                0.35648,                 1.2567,                 1.7908,                 1.4377,               2.98e-05,               2.98e-05,               2.98e-05
